书名,作者,出版社,出版日期,书价,评论热度
盗墓笔记7,南派三叔, 时代文艺出版社,2017.0,32.8,26528.0
面纱,[英]W.萨默塞特·毛姆, 重庆,2012.0,32.0,26486.0
父与子全集,[德]埃·奥·卜劳恩绘, 中国工人出版社,2003.0,20.0,26358.0
人间词话,王国维, 上海古籍出版社,1998.0,9.8,26300.0
圣女的救济,[日]东野圭吾, 当代世界出版社,2009.0,30.0,26158.0
文学回忆录（全2册）,木心讲述, 广西师范大学出版社,2013.0,98.0,26060.0
平凡的世界,路遥," 北京出版集团公司,北京十月文艺出版社",2012.0,79.8,25728.0
新名字的故事,[意]埃莱娜·费兰特, 人民文学出版社,2017.0,59.0,25713.0
雾都孤儿,[英]狄更斯, 上海译文出版社,1991.0,10.1,25132.0
哈姆莱特,[英]莎士比亚, 人民文学出版社,2001.0,7.0,24859.0
宿命,[日]东野圭吾, 南海出版公司,2011.0,25.0,24758.0
占星术杀人魔法,[日]岛田庄司, 新星出版社,2008.0,28.0,24718.0
行者无疆,余秋雨, 华艺出版社,2001.0,22.0,24684.0
舞！舞！舞！,[日]村上春树, 上海译文出版社,2002.0,25.0,24586.0
东宫,匪我思存, 新世界出版社,2010.0,28.0,24510.0
鬼吹灯之昆仑神宫,天下霸唱, 安徽文艺出版社,2016.0,28.0,24446.0
海子的诗,海子, 人民文学出版社,1999.0,15.4,24423.0
野火集,龙应台, 文汇出版社,2005.0,25.0,24409.0
我的前半生,亦舒, 新世界出版社,2011.0,22.0,24335.0
九州·缥缈录,江南, 新世界出版社,2010.0,20.0,24205.0
动物凶猛,王朔, 中国电影出版社,2004.0,15.5,24180.0
万水千山走遍,三毛, 哈尔滨出版社,2003.0,13.8,24065.0
我的精神家园,王小波, 文化艺术出版社,1997.0,18.8,24024.0
少年维特的烦恼,[德]歌德, 人民文学出版社,1999.0,7.4,23902.0
一个陌生女子的来信,[奥]茨威格, 中国社会科学出版社,2007.0,20.0,23705.0
斯通纳,[美]约翰·威廉斯, 上海人民出版社,2016.0,49.0,23680.0
教父,[美]马里奥·普佐, 译林出版社,1997.0,23.3,23669.0
大漠谣,桐华, 河南文艺出版社,2017.0,20.0,23481.0
青春,韩寒, 湖南人民出版社,2017.0,29.0,23388.0
台北人,白先勇, 广西师范大学出版社,2010.0,38.0,23169.0
白银时代,王小波, 花城出版社,1997.0,10.0,23064.0
观念的水位,刘瑜, 浙江大学出版社,2013.0,36.0,22971.0
变身,[日]东野圭吾, 南海出版社,2016.0,22.0,22903.0
小姨多鹤,严歌苓, 作家出版社,2008.0,28.0,22903.0
云中歌1,桐华, 作家出版社,2009.0,24.8,22756.0
死亡筆記 1,大場鶇, 文化傳信,2008.0,30.0,22583.0
七龍珠 34,鸟山明, 東立,2018.0,6.9,22554.0
寻羊冒险记,[日]村上春树, 上海译文出版社,2001.0,18.8,22358.0
琅琊榜,海宴, 朝华出版社,2007.0,49.8,22231.0
来不及说我爱你,匪我思存, 新世界出版社,2010.0,20.0,22220.0
千年一叹,余秋雨, 作家出版社,2002.0,35.0,22051.0
通稿2003,韩寒, 作家出版社,2006.0,9.0,21995.0
别相信任何人,[英]S.J.沃森, 中信出版社,2011.0,29.0,21962.0
红拂夜奔,王小波, 江苏文艺出版社,2005.0,28.0,21933.0
我所理解的生活,韩寒, 浙江文艺出版社,2013.0,29.0,21787.0
阿弥陀佛么么哒,大冰, 湖南文艺出版社,2015.0,38.0,21694.0
子不语1,夏达, 新世纪出版社,2019.0,36.0,21644.0
告白,湊佳苗, 時報文化,2009.0,250.0,21583.0
幽游白书（全19册）,冨樫義博, 河南大学出版社,1999.0,129.2,21529.0
可爱的洪水猛兽,韩寒, 万卷出版公司,2010.0,25.0,21288.0
乱马1/2,高桥留美子, 吉林美术出版社,2002.0,6.5,21127.0
一个叫欧维的男人决定去死,[瑞典]弗雷德里克·巴克曼, 四川文艺出版社,2015.0,35.0,21120.0
退步集,陈丹青, 广西师范大学出版社,2005.0,38.0,20931.0
长安十二时辰 上,马伯庸, 湖南文艺出版社,2017.0,79.6,20848.0
杂的文,韩寒, 万卷出版公司,2018.0,19.9,20802.0
夹边沟记事,杨显惠, 花城出版社,2004.0,34.0,20688.0
祈祷落幕时,[日]东野圭吾, 南海出版公司,2015.0,39.5,20680.0
带一本书去巴黎,林达, 生活·读书·新知三联书店,2002.0,35.0,20350.0
单恋,[日]东野圭吾, 南海出版公司,2012.0,28.0,20305.0
在细雨中呼喊,余华, 南海出版公司,1999.0,18.0,20141.0
许我向你看,辛夷坞, 河南文艺出版社,2007.0,25.0,20124.0
分身,[日]东野圭吾, 南海出版公司,2017.0,28.0,19700.0
古董局中局,马伯庸, 凤凰出版社,2019.0,32.0,19314.0
三生三世 枕上书,唐七公子, 湖南文艺出版社,2019.0,32.0,19255.0
花千骨（上下）,Fresh果果, 北方妇女儿童出版社,2009.0,56.0,19091.0
刺杀骑士团长,[日]村上春树, 上海译文出版社,2018.0,98.0,18889.0
包法利夫人,福楼拜, 人民文学出版社,2003.0,12.0,18349.0
永恒的终结,[美]艾萨克·阿西莫夫, 江苏文艺出版社,2015.0,32.0,18323.0
连城诀,金庸, 三联书店,2007.0,12.0,18303.0
东京奇谭集,[日]村上春树, 上海译文出版社,2006.0,13.0,18270.0
天是红河岸,篠原千绘, 日本小学馆,2016.0,37.0,18226.0
烈火如歌,明晓溪, 新世界出版社,2015.0,20.0,18092.0
星空,幾米, 大塊文化,2017.0,369.0,18071.0
家,巴金, 人民文学出版社,1981.0,29.0,18060.0
雪山飞狐,金庸, 三联书店,2013.0,12.0,18001.0
龙族Ⅰ,江南, 长江出版社,2010.0,24.8,17745.0
雪国,[日]川端康成, 南海出版公司,2013.0,32.0,17713.0
复活,[俄]列夫·托尔斯泰, 人民文学出版社,1979.0,19.9,17702.0
离开的，留下的,[意]埃莱娜·费兰特, 人民文学出版社,2017.0,62.0,17700.0
步履不停,[日]是枝裕和, 北京联合出版公司,2017.0,36.8,17618.0
十年一品温如言,书海沧生, 江苏文艺出版社,2010.0,46.0,17524.0
幸福了吗?,白岩松, 长江文艺出版社,2016.0,29.0,17488.0
夏至未至,郭敬明, 长江文艺出版社,2007.0,26.8,17436.0
你的孤独，虽败犹荣,刘同, 中信出版社,2014.0,39.8,17319.0
一桩事先张扬的凶杀案,[哥伦比亚]加西亚·马尔克斯, 南海出版公司,2017.0,25.0,17313.0
失踪的孩子,[意]埃莱娜·费兰特, 99读书人|人民文学出版社,2018.0,62.0,17177.0
旅行的艺术,[英]阿兰·德波顿, 上海译文出版社,2004.0,16.8,17160.0
NANA（1-13）,[日]矢泽爱, 内蒙古人民出版社,2011.0,84.5,17090.0
丑陋的中国人,柏杨, 古吴轩出版社,2006.0,23.8,17027.0
青铜时代,王小波, 花城出版社,1997.0,29.0,16962.0
失乐园,[日]渡边淳一, 北京联合出版公司,2014.0,39.8,16871.0
谁的青春不迷茫,刘同, 中信出版社,2014.0,35.0,16811.0
美丽新世界,[英]阿道司·赫胥黎, 重庆出版社,2014.0,20.0,16700.0
深夜食堂 01,[日]安倍夜郎, 湖南文艺出版社,2011.0,25.0,16431.0
双城记,查尔斯·狄更斯, 人民文学出版社,1996.0,14.1,16427.0
遇到百分之百的女孩,[日]村上春树, 上海译文出版社,2002.0,13.5,16364.0
上海堡垒,江南, 万卷出版公司,2007.0,26.0,16284.0
长夜难明,紫金陈, 云南人民出版社,2016.0,42.0,16145.0
檀香刑,莫言, 作家出版社,2001.0,27.0,16142.0
树上的男爵,[意]卡尔维诺, 译林出版社,2012.0,30.0,16130.0
射雕英雄传,金庸, 生活·读书·新知三联书店,2018.0,76.8,16092.0
你一生的故事,[美]特德·姜, 译林出版社,2010.0,36.0,16053.0
魔道祖師 一,墨香铜臭, 平心工作室,0.0,330.0,15955.0
银河系漫游指南,[英]道格拉斯·亚当斯, 四川科学技术出版社,2007.0,16.0,15896.0
金色梦乡,[日]伊坂幸太郎, 南海出版公司,2016.0,49.5,15851.0
三十六大,冯唐, 浙江文艺出版社,2009.0,36.0,15717.0
名侦探的守则,[日]东野圭吾, 南海出版公司,2015.0,22.0,15607.0
金阁寺,[日]三岛由纪夫, 上海译文出版社,2009.0,24.0,15546.0
毒,韩寒, 中国青年出版社,2015.0,19.0,15492.0
佐贺的超级阿嬷,[日]岛田洋七, 南海出版公司,2007.0,20.0,15484.0
月刊少女野崎くん 01,椿いづみ, スクウェア?エニックス,2013.0,514.0,15452.0
人类的群星闪耀时,[奥]斯蒂芬·茨威格, 广西师范大学出版社,2018.0,18.0,15447.0
顾城的诗,顾城, 人民文学出版社,1998.0,20.0,15433.0
我可以咬一口吗,[美]莉兹·克里莫, 天津人民出版社,0.0,39.0,15422.0
废都,贾平凹, 北京出版社,2017.0,12.5,15398.0
彷徨,鲁迅, 人民文学出版社,1973.0,0.37,15265.0
城门开,北岛, 生活·读书·新知三联书店,2010.0,35.0,15237.0
倚天屠龙记,金庸, 生活·读书·新知三联书店,2015.0,76.8,15206.0
且试天下1,倾泠月, 二十一世纪出版社,1994.0,23.0,15179.0
兄弟,余华, 作家出版社,2012.0,43.0,15120.0
默读,Priest, 百花洲文艺出版社,2018.0,45.0,15059.0
苏东坡传,林语堂, 陕西师范大学出版社,2006.0,24.8,14959.0
洗澡,杨绛, 人民文学出版社,1985.0,16.0,14949.0
外婆的道歉信,[瑞典]弗雷德里克·巴克曼, 天津人民出版社,2017.0,42.0,14912.0
三体全集,刘慈欣, 重庆出版社,2018.0,168.0,14907.0
我的阿勒泰,李娟, 云南人民出版社,2010.0,22.0,14864.0
远山淡影,[英]石黑一雄, 上海译文出版社,2011.0,27.0,14732.0
新参者,[日]东野圭吾, 南海出版公司,2016.0,39.5,14542.0
繁花,金宇澄, 上海文艺出版社,2013.0,48.0,14374.0
厨房,[日]吉本芭娜娜, 上海译文出版社,2009.0,22.0,14325.0
陆小凤传奇,古龙, 珠海出版社,2016.0,94.0,14304.0
雪人,[挪威]尤·奈斯博, 湖南文艺出版社,2014.0,39.0,14302.0
微笑的鱼,幾米, 辽宁教育出版社,2006.0,20.0,14278.0
牛虻,[爱尔兰]伏尼契, 中国青年出版社,1953.0,13.9,14230.0
杉杉来吃,顾漫, 江苏文艺出版社,1997.0,25.0,14226.0
香蜜沉沉烬如霜,电线, 江苏文艺出版社,2018.0,25.0,14184.0
史记（全十册）,司马迁, 中华书局,1982.0,125.0,14182.0
心理学与生活,[美]理查德·格里格, 人民邮电出版社,2003.0,88.0,14179.0
诛仙1,萧鼎, 朝华出版社,1999.0,22.0,14173.0
色，戒,张爱玲, 北京十月文艺出版社,2012.0,25.0,14084.0
我的职业是小说家,[日]村上春树, 南海出版公司,2017.0,45.0,14078.0
多情剑客无情剑(上、中、下),古龙, 海天出版社,2010.0,49.8,14003.0
潜规则,吴思, 云南人民出版社,2012.0,16.0,13947.0
黑笑小说,[日]东野圭吾, 南海出版公司,2010.0,22.0,13872.0
平如美棠,饶平如, 广西师范大学出版社,2018.0,39.8,13751.0
当时只道是寻常,安意如, 天津教育出版社,2002.0,23.8,13667.0
我是猫,[日]夏目漱石, 译林出版社,1994.0,10.3,13615.0
眠,[日]村上春树著, 南海出版公司,2013.0,29.5,13606.0
冰与火之歌（卷二）,[美]乔治.R.R.马丁, 重庆出版社,2010.0,65.0,13587.0
余生皆假期,伊坂幸太郎, 新星出版社,2015.0,28.0,13587.0
山居笔记,余秋雨, 文汇出版社,2002.0,28.0,13507.0
神们自己,[美]艾萨克·阿西莫夫, 江苏凤凰文艺出版社,2010.0,39.0,13486.0
绝代双骄（全三册）,古龙, 珠海出版社,0.0,56.0,13428.0
龙族Ⅱ,江南, 长江出版社,2007.0,29.8,13392.0
社会心理学,[美]戴维·迈尔斯, 人民邮电出版社,2006.0,68.0,13371.0
天蓝色的彼岸,[英]艾利克斯·希尔, 新世界出版社,2003.0,19.8,13306.0
东京一年,蒋方舟, 中信出版社,2017.0,68.0,13301.0
她比烟花寂寞,[香港]亦舒, 海天出版社,2013.0,9.8,13277.0
广岛之恋,[法]玛格丽特·杜拉斯, 上海译文出版社,2013.0,23.0,13260.0
简爱,[英]夏洛蒂·勃朗特, 上海文艺出版社,2007.0,27.0,13199.0
金陵十三钗,严歌苓, 中国工人出版社,2019.0,17.0,13111.0
就这么漂来漂去,韩寒, 接力出版社,2017.0,26.0,13082.0
小妇人,[美]路易莎·梅·奥尔科特, 译林出版社,2004.0,15.0,13037.0
曾许诺,桐华, 湖南文艺出版社,2018.0,26.0,13009.0
此生未完成,于娟, 湖南科技出版社,2011.0,26.0,12963.0
走到人生边上,杨绛, 商务印书馆,2007.0,16.0,12956.0
王尔德童话,[英]王尔德, 译林出版社,2003.0,6.0,12940.0
鬼吹灯Ⅱ之三·怒晴湘西,天下霸唱, 安徽文艺出版社,2013.0,28.0,12929.0
沉睡的人鱼之家,[日]东野圭吾, 北京联合出版公司,2017.0,39.8,12894.0
冬牧场,李娟, 新星出版社,2012.0,29.8,12778.0
心理罪,雷米, 重庆出版社,2013.0,24.0,12734.0
斯普特尼克恋人,[日]村上春树, 上海译文出版社,2001.0,14.1,12729.0
楚留香传奇,古龙, 珠海出版社,1999.0,100.0,12617.0
我怎样毁了我的一生,[法]贝尔当·桑帝尼文, 生活·读书·新知三联书店,2009.0,29.8,12605.0
诗经,孔丘编订, 北京出版社,2006.0,19.9,12595.0
飞狐外传(上下),金庸, 三联书店,2005.0,23.0,12559.0
他来了，请闭眼,丁墨, 百花洲文艺出版社,2018.0,45.0,12528.0
半小时漫画中国史（修订版）,二混子, 江苏凤凰文艺出版社,0.0,39.9,12520.0
临界·爵迹 I,郭敬明, 长江文艺出版社,2003.0,19.8,12476.0
X的悲剧,[美]埃勒里·奎因, 新星出版社,2019.0,29.0,12461.0
云边有个小卖部,张嘉佳, 湖南文艺出版社,2018.0,42.0,12459.0
橘生淮南·暗恋,八月长安, 吉林出版集团有限责任公司,2019.0,28.8,12451.0
童年,[苏]高尔基, 人民文学出版社,2002.0,10.8,12436.0
基地,[美]艾萨克·阿西莫夫, 天地出版社,2014.0,21.0,12417.0
沧浪之水,阎真, 人民文学出版社,2005.0,26.0,12400.0
张爱玲文集,张爱玲, 安徽文艺出版社,2011.0,45.0,12358.0
梦幻花,[日]东野圭吾, 作家出版社,2019.0,36.0,12338.0
失物之书,[爱尔兰]约翰·康诺利, 人民文学出版社,2009.0,29.9,12293.0
圆舞,[加]亦舒, 南海出版公司,2014.0,17.0,12282.0
万物静默如谜,[波]维斯拉瓦·辛波斯卡, 浦睿文化·湖南文艺出版社,2012.0,26.0,12262.0
九州·缥缈录Ⅱ·苍云古齿,江南, 新世界出版社,2011.0,20.0,12262.0
一半是海水一半是火焰,王朔, 时代文艺出版社,2013.0,18.0,12188.0
湖边凶杀案,[日]东野圭吾, 海南出版社,2017.0,18.0,12145.0
玫瑰的故事,亦舒, 新世界出版社,2010.0,25.0,12072.0
鬼吹灯Ⅱ之四巫峡棺山,天下霸唱, 安徽文艺出版社,2010.0,39.8,12047.0
暗恋·橘生淮南,八月长安, 湖南文艺出版社,2004.0,58.0,12032.0
十一字杀人,[日]东野圭吾, 上海译文出版社,2018.0,20.0,12029.0
罗密欧与朱丽叶（名著名译插图本）,[英]莎士比亚, 人民文学出版社,2003.0,18.0,12017.0
我不是潘金莲,刘震云, 长江文艺出版社,2015.0,29.8,12003.0
第九个寡妇,严歌苓, 作家出版社,2007.0,25.0,11957.0
活了100万次的猫,佐野洋子, 接力出版社,2004.0,28.0,11935.0
君主论,[意]尼科洛·马基雅维里, 商务印书馆,1985.0,9.0,11902.0
拉普拉斯的魔女,[日]东野圭吾, 北京联合出版公司,2017.0,39.8,11859.0
自由在高处,熊培云, 新星出版社,2013.0,30.0,11841.0
看不见的城市,[意大利]伊塔洛·卡尔维诺, 译林出版社,2012.0,25.0,11832.0
银河系搭车客指南,[英]道格拉斯·亚当斯, 上海译文出版社,2018.0,26.0,11692.0
冰与火之歌（卷三）,[美]乔治.R.R.马丁, 重庆出版社,2019.0,88.0,11684.0
护花铃,沧月, 新世界出版社,2011.0,19.8,11615.0
高老头,[法]巴尔扎克, 人民文学出版社,1989.0,5.6,11512.0
不朽,米兰·昆德拉, 上海译文出版社,2011.0,24.0,11510.0
嫌疑犯X的獻身,東野圭吾, 獨步文化,2017.0,280.0,11493.0
德伯家的苔丝,[英]哈代, 人民文学出版社,1998.0,25.5,11489.0
开到荼蘼,亦舒, 新世界出版社,2018.0,18.0,11438.0
生死疲劳,莫言, 作家出版社,2006.0,39.0,11435.0
古董局中局 2,马伯庸, 江苏文艺出版社,2018.0,32.0,11410.0
文化苦旅,余秋雨, 长江文艺出版社,2014.0,38.0,11407.0
柑橘与柠檬啊,[英]麦克·莫波格, 中国城市出版社,2009.0,28.8,11406.0
诛仙,箫鼎, 青海人民出版社,2013.0,118.8,11402.0
如丧,高晓松, 武汉出版社,2011.0,32.0,11384.0
一个人住第9年,高木直子, 江西科学技术出版社,2014.0,20.0,11350.0
漩涡,伊藤润二, 東立,2018.0,100.0,11258.0
古文观止,吴楚材, 中华书局,1987.0,21.0,11234.0
侠客行,金庸, 生活·读书·新知三联书店,2013.0,38.0,11229.0
白说,白岩松, 长江文艺出版社,2015.0,39.8,11180.0
很高兴见到你,韩寒主编, 浙江文艺出版社,2015.0,29.0,11160.0
欢乐英雄,古龙, 珠海出版社,1999.0,28.0,11093.0
舒克和贝塔历险记,郑渊洁, 学苑出版社,1996.0,15.0,11075.0
书剑恩仇录(上下),金庸, 三联书店,2016.0,0.0,11058.0
碧血剑（上下）,金庸, 生活·读书·新知三联书店,2004.0,23.0,11046.0
清明上河图密码,冶文彪, 北京联合出版公司,2008.0,49.9,11022.0
遥远的救世主,豆豆, 作家出版社,2005.0,28.0,10959.0
草房子,曹文轩, 江苏少年儿童出版社,2009.0,18.0,10958.0
血薇,沧月, 新世界出版社,2004.0,19.0,10931.0
基督山伯爵（上下册）,大仲马, 上海译文出版社,2007.0,35.0,10911.0
庆余年·壹,猫腻, 中国友谊出版公司,2013.0,28.0,10886.0
俗世奇人,冯骥才, 作家出版社,2008.0,18.0,10874.0
绿毛水怪,王小波, 时代文艺出版社,2009.0,30.0,10837.0
十宗罪,蜘蛛, 湖南文艺出版社,2008.0,26.0,10803.0
温柔的夜,三毛, 北京十月文艺出版社,2007.0,28.0,10731.0
猜猜我有多爱你,[英]山姆·麦克布雷尼文, 少年儿童出版社,2005.0,29.8,10722.0
我不是教你诈,[美]刘墉, 接力出版社,2015.0,43.0,10696.0
童年 在人间 我的大学,[苏]高尔基, 人民文学出版社,1997.0,35.0,10693.0
稻草人手记,三毛, 北京十月文艺出版社,2009.0,18.0,10652.0
伽利略的苦恼,[日]东野圭吾, 当代世界出版社,2018.0,30.0,10614.0
卡拉马佐夫兄弟,[俄]费奥多尔·陀思妥耶夫斯基, 上海译文出版社,2006.0,25.0,10594.0
小顾聊绘画·壹,顾爷, 中信出版社,2009.0,38.0,10586.0
火星救援,[美]安迪·威尔, 译林出版社,2012.0,38.0,10586.0
小狗钱钱,[德]博多·舍费尔, 中国工人出版社,2002.0,15.8,10579.0
艺术的故事,[英]贡布里希, 广西美术出版社,2008.0,280.0,10560.0
毒笑小说,[日]东野圭吾, 南海出版公司,2017.0,25.0,10555.0
人淡如菊,[加]亦舒, 新世界出版社,2012.0,19.0,10486.0
人生的智慧,[德]阿图尔·叔本华, 上海人民出版社,2008.0,28.0,10356.0
德米安,[德]赫尔曼·黑塞, 上海人民出版社,2019.0,25.0,10353.0
